title,genres,overview,cast,crew,movie_id
Kshatriya Putrudu,Action Drama,A man discovers his royal lineage.,"Rajasekhar, Bhanupriya",T. Krishna,57
Atharintiki Daaredi,Family Drama,A man reunites his estranged family.,"Pawan Kalyan, Samantha",Trivikram,58
Khaleja,Action Comedy,A taxi driver becomes a village’s savior.,"Mahesh Babu, Anushka",Trivikram,59
Okkadu,Action Drama,A kabaddi player saves a girl from a faction leader.,"Mahesh Babu, Bhumika",Gunasekhar,60
Murari,Fantasy Drama,A man cursed by family deity fights fate.,"Mahesh Babu, Sonali Bendre",Krishna Vamsi,61
Businessman,Action Thriller,A man rises as a mafia don in Mumbai.,"Mahesh Babu, Kajal",Puri Jagannadh,62
Athidhi,Action Thriller,A mysterious man enters a family’s life.,"Mahesh Babu, Amrita Rao",Surender Reddy,63
Rangasthalam,Period Drama,A hearing-impaired man fights a corrupt president.,"Ram Charan, Samantha",Sukumar,64
Dhruva,Action Thriller,A cop battles a brilliant criminal mastermind.,"Ram Charan, Rakul",Surender Reddy,65
Orange,Romantic Drama,A man questions the concept of eternal love.,"Ram Charan, Genelia",Bhaskar,66
Chandamama,Rom-Com,Two cousins fall for the same girl.,"Navdeep, Kajal",Krishna Vamsi,67
Happy Days,Youth Drama,Engineering students navigate friendship and love.,"Varun Sandesh, Tamannaah",Sekhar Kammula,68
Leader,Political Drama,A young man becomes CM to fight corruption.,"Rana Daggubati, Richa",Sekhar Kammula,69
Baazi,Action Thriller,A man seeks revenge against criminals.,"Nagarjuna, Shobana",A. Kodandarami Reddy,70
Rajanna,Historical Drama,A girl inspires villagers with her father’s legacy.,"Nagarjuna, Sneha",Vijayendra Prasad,71
Mass,Action Thriller,A man avenges his brother’s death.,"Nagarjuna, Jyothika",Lawrence,72
Don,Action Comedy,A carefree student reforms into a responsible leader.,"Nagarjuna, Anushka",Raghava Lawrence,73
Premam,Romantic Drama,A man’s journey through three stages of love.,"Naga Chaitanya, Shruti",Chandoo Mondeti,74
Majili,Romantic Drama,A failed cricketer finds redemption in love.,"Naga Chaitanya, Samantha",Shiva Nirvana,75
Malliswari,Romantic Comedy,A poor man falls for a rich heiress.,"Venkatesh, Katrina Kaif",K. Vijaya Bhaskar,76
Jayam,Romantic Drama,A young couple fights family opposition for love.,"Nithiin, Sadha",Teja,77
Dil,Romantic Drama,A college student falls for a don’s daughter.,"Nithiin, Neha",VV Vinayak,78
Ishq,Romantic Comedy,A couple’s love is tested by family conflicts.,"Nithiin, Nithya Menen",Vikram Kumar,79
A Aa,Rom-Com,A woman’s arranged marriage leads to unexpected love.,"Nithiin, Samantha",Trivikram,80
Bheeshma,Rom-Com,A man becomes CEO of an organic farming company.,"Nithiin, Rashmika",Venky Kudumula,81
Kanche,War Drama,A soldier’s love story set during WWII.,"Varun Tej, Pragya Jaiswal",Krish,82
Loafer,Action Drama,A mother searches for her lost son.,"Varun Tej, Disha Patani",Puri Jagannadh,83
Fidaa,Romantic Drama,A US-based doctor falls for a village girl.,"Varun Tej, Sai Pallavi",Sekhar Kammula,84
Tholi Prema (2018),Romantic Drama,A man recalls his first love.,"Varun Tej, Rashi Khanna",Venky Atluri,85
Kotha Bangaru Lokam,Romantic Drama,Two students fall in love against parental wishes.,"Varun Sandesh, Shweta Basu",Srikanth Addala,86
Seethamma Vakitlo Sirimalle Chettu,Family Drama,Two brothers navigate love and family bonds.,"Mahesh Babu, Venkatesh",Srikanth Addala,87
Gudumba Shankar,Action Comedy,A man tricks a gangster to marry his love.,"Pawan Kalyan, Meera Jasmine",Veera Shankar,91
Bangaram,Action Drama,A journalist gets entangled in a family feud.,"Pawan Kalyan, Meera Chopra",Dharani,92
Teen Maar,Romantic Drama,A man balances love and career across continents.,"Pawan Kalyan, Trisha",Jayanth C. Paranjee,93
Komaram Puli,Action Thriller,A cop fights against organized crime.,"Pawan Kalyan, Nikisha Patel",SJ Surya,94
Gudumba Jatha,Comedy,A light-hearted entertainer with family drama.,"Pawan Kalyan, Renu Desai",Veera Shankar,95
Venky,Comedy Thriller,A student gets entangled in a murder mystery.,"Ravi Teja, Sneha",Srinu Vaitla,96
Kick,Action Comedy,A thrill-seeker’s antics lead to crime-fighting.,"Ravi Teja, Ileana",Surender Reddy,97
Balupu,Action Comedy,A man pretends to be a thug to teach lessons.,"Ravi Teja, Shruti Hassan",Gopichand Malineni,98
Krishna,Action Comedy,A man helps a girl escape from goons.,"Ravi Teja, Trisha",V.V. Vinayak,99
Amar Akbar Anthony,Action Comedy,A man with multiple identities seeks revenge.,"Ravi Teja, Ileana",Srinu Vaitla,100
Shankar Dada MBBS,Comedy Drama,A don pretends to be a doctor to fulfill his mother’s wish.,"Chiranjeevi, Sonali Bendre",Murugadoss,101
Shankar Dada Zindabad,Comedy Drama,A don reforms after meeting Gandhian ideals.,"Chiranjeevi, Karishma Kotak",Prabhu Deva,102
Stalin,Action Drama,A man inspires people to help one another.,"Chiranjeevi, Trisha",Murugadoss,103
Bavagaru Bagunnara,Family Drama,A man pretends to be married to help a woman.,"Chiranjeevi, Rambha",Jayanth C. Paranjee,104
Rowdy Alludu,Comedy,A man’s double role creates chaos.,"Chiranjeevi, Divya Bharathi",K. Raghavendra Rao,105
Gudumba Shankar,Action Comedy,A man tricks a gangster to marry his love.,"Pawan Kalyan, Meera Jasmine",Veera Shankar,106
Suswagatham,Romantic Drama,A man’s obsessive love leads to tragedy.,"Pawan Kalyan, Devayani",Bhimaneni Srinivasa Rao,107
Thammudu,Sports Drama,A carefree youth becomes a boxing champion.,"Pawan Kalyan, Preeti Jhangiani",P.A. Arun Prasad,108
Kushi,Romantic Comedy,A couple’s egos clash despite their love.,"Pawan Kalyan, Bhumika",S.J. Surya,109
Badri,Romantic Drama,A man falls for a girl engaged to another.,"Pawan Kalyan, Amisha Patel",Puri Jagannadh,110
Desamuduru,Action Romance,A journalist falls for a sanyasin.,"Allu Arjun, Hansika",Puri Jagannadh,111
Varudu,Romantic Drama,A man agrees to marry a bride he hasn’t seen.,"Allu Arjun, Bhanu Mehra",Gunasekhar,112
Julayi,Action Comedy,A young man helps police catch a criminal.,"Allu Arjun, Ileana",Trivikram,113
Race Gurram,Action Comedy,A carefree man reforms his brother’s police career.,"Allu Arjun, Shruti Hassan",Surender Reddy,114
Naa Peru Surya,Action Drama,A soldier must control his anger to prove himself.,"Allu Arjun, Anu Emmanuel",Vakkantham Vamsi,115
Vedam,Anthology Drama,Five lives intersect during a terrorist attack.,"Allu Arjun, Anushka",Krish,116
Sarrainodu,Action Drama,A man fights against a corrupt politician.,"Allu Arjun, Rakul",Boyapati Srinu,117
DJ: Duvvada Jagannadham,Action Comedy,A Brahmin man doubles as a vigilante.,"Allu Arjun, Pooja Hegde",Harish Shankar,118
Bunny,Action Drama,A college student takes revenge for his father’s death.,"Allu Arjun, Gowri Munjal",V.V. Vinayak,119
Happy,Rom-Com,A forced marriage turns into love.,"Allu Arjun, Genelia",Karunakaran,120
Chitralahari,Drama,A struggling man seeks recognition for his ideas.,"Sai Dharam Tej, Kalyani Priyadarshan",Kishore Tirumala,121
Prati Roju Pandage,Family Drama,A grandson spends time with his dying grandfather.,"Sai Dharam Tej, Raashi Khanna",Maruthi,122
Solo Brathuke So Better,Rom-Com,A man who advocates bachelorhood falls in love.,"Sai Dharam Tej, Nabha Natesh",Subbu,123
Republic,Political Drama,A young IAS officer fights systemic corruption.,"Sai Dharam Tej, Aishwarya Rajesh",Deva Katta,124
Winner,Action Comedy,A man reunites with his father through horse racing.,"Sai Dharam Tej, Rakul",Gopichand Malineni,125
Student No.1,Action Drama,A law student reforms criminals in jail.,"NTR, Gajala",Rajamouli,126
Aadi,Action Drama,A young man avenges his parents’ death.,"NTR, Keerthi Chawla",V.V. Vinayak,127
Simhadri,Action Drama,A loyal servant protects his master’s family.,"NTR, Bhoomika",Rajamouli,128
Yamadonga,Fantasy Comedy,A thief lands in Yamalokam and reforms.,"NTR, Priyamani",Rajamouli,129
Brindavanam,Rom-Com,A man pretends to be a fiancé to unite families.,"NTR, Kajal",Vamsi Paidipally,130
Temper,Action Drama,A corrupt cop reforms after meeting a victim.,"NTR, Kajal",Puri Jagannadh,131
Jai Lava Kusa,Action Drama,Triplets with contrasting personalities clash.,"NTR, Raashi Khanna",K.S. Ravindra,132
Aravinda Sametha,Action Drama,A faction leader seeks peace over violence.,"NTR, Pooja Hegde",Trivikram,133
Nannaku Prematho,Action Thriller,A son avenges his father’s betrayal.,"NTR, Rakul",Sukumar,134
Baadshah,Action Comedy,A don infiltrates mafia to save the nation.,"NTR, Kajal",Srinu Vaitla,135
Narasimha Naidu,Action Drama,A faction leader protects his village.,"Balakrishna, Simran",B. Gopal,136
Samarasimha Reddy,Action Drama,A faction leader reforms his enemies.,"Balakrishna, Anjala Zaveri",B. Gopal,137
Lorry Driver,Action Drama,A truck driver fights injustice.,"Balakrishna, Vijayashanti",B. Gopal,138
Rowdy Inspector,Action Thriller,A fearless cop fights criminals.,"Balakrishna, Vijayashanti",B. Gopal,139
Muddula Mavayya,Family Drama,A man sacrifices for his family.,"Balakrishna, Vijayashanti",Kodi Ramakrishna,140
Bhairava Dweepam,Fantasy Adventure,A prince rescues his kingdom from evil.,"Balakrishna, Roja",Singeeetam Srinivasa Rao,141
Aditya 369,Sci-Fi Adventure,A scientist invents a time machine leading to adventures.,"Balakrishna, Mohini",Singeeetam Srinivasa Rao,142
Legend,Action Drama,A man rises against corruption and injustice.,"Balakrishna, Sonal Chauhan",Boyapati Srinu,143
Simha,Action Drama,A powerful man protects his family from enemies.,"Balakrishna, Sneha Ullal",Boyapati Srinu,144
Akhil,Fantasy Action,A young man discovers his destiny through a mystical ball.,"Akhil Akkineni, Sayesha",VV Vinayak,145
Most Eligible Bachelor,Rom-Com,A man’s arranged marriage leads to unexpected love.,"Akhil Akkineni, Pooja Hegde",Bommarillu Bhaskar,146
Hello,Romantic Drama,A man searches for his childhood love.,"Akhil Akkineni, Kalyani Priyadarshan",Vikram Kumar,147
Manmadhudu,Rom-Com,A middle-aged bachelor falls for a younger woman.,"Nagarjuna, Sonali Bendre",K. Vijaya Bhaskar,148
Don,Action Comedy,A carefree student reforms into a responsible leader.,"Nagarjuna, Anushka",Raghava Lawrence,149
King,Action Thriller,A man investigates his father’s mysterious death.,"Nagarjuna, Trisha",Srinu Vaitla,150
Kalisundam Raa,Family Drama,A man reunites two feuding families.,"Venkatesh, Simran",Uday Shankar,151
Nuvvu Naaku Nachav,Rom-Com,A man falls for his friend’s daughter.,"Venkatesh, Aarti Agarwal",K. Vijaya Bhaskar,152
Malliswari,Rom-Com,A rich heiress falls for a simple man.,"Venkatesh, Katrina Kaif",K. Vijaya Bhaskar,153
Chanti,Family Drama,A soldier sacrifices for his sister’s happiness.,"Venkatesh, Meena",Ravi Raja Pinisetty,154
Preminchukundam Raa,Romantic Drama,A man fights caste barriers for love.,"Venkatesh, Anjala Zaveri",Jayanth C. Paranjee,155
Sundarakanda,Rom-Com,A man pretends to be married to help a woman.,"Venkatesh, Meena",K. Raghavendra Rao,156
Drushyam,Thriller,A man protects his family after a crime.,"Venkatesh, Meena",Sripriya,157
Guru,Sports Drama,A boxing coach trains a young woman.,"Venkatesh, Ritika Singh",Sudha Kongara,158
F2: Fun and Frustration,Comedy,A story of two frustrated husbands.,"Venkatesh, Varun Tej",Anil Ravipudi,159
F3: Fun and Frustration,Comedy,The sequel continues with family chaos.,"Venkatesh, Varun Tej",Anil Ravipudi,160
Josh,Youth Drama,A student fights against college politics.,"Naga Chaitanya, Karthika",Vasu Varma,161
100% Love,Rom-Com,A perfectionist clashes with his cousin in love.,"Naga Chaitanya, Tamannaah",Sukumar,162
Autonagar Surya,Action Drama,A mechanic fights against mafia in his town.,"Naga Chaitanya, Samantha",Deva Katta,163
Rarandoi Veduka Chudham,Rom-Com,A man wins over his bride’s family.,"Naga Chaitanya, Rakul",Kalyan Krishna,164
Bangarraju,Fantasy Comedy,A man returns from heaven to help his family.,"Nagarjuna, Naga Chaitanya",Kalyan Krishna,167
Devadas,Comedy Drama,Two contrasting men become unlikely friends.,"Nagarjuna, Nani",Sriram Adittya,168
Manam,Fantasy Drama,Three generations explore reincarnation and destiny.,"Nagarjuna, Naga Chaitanya",Vikram Kumar,169
Devadasu (1953),Romantic Drama,A tragic love story of Devadas.,"ANR, Savitri",Vedantam Raghavaiah,172
Sankranthi,Family Drama,A joint family navigates love and unity.,"Venkatesh, Sneha",Muthyala Subbaiah,175
Pushpa 2: The Rule,Action Drama,The continuation of Pushpa’s rise in red sandalwood smuggling.,"Allu Arjun, Rashmika",Sukumar,176
Devara Part 1,Action Drama,A coastal warrior fights against injustice.,"NTR, Janhvi Kapoor",Koratala Siva,177
Kalki 2898 AD,Sci-Fi Fantasy,A dystopian epic blending mythology and future.,"Prabhas, Deepika Padukone",Nag Ashwin,178
Agent,Action Thriller,A spy uncovers a global conspiracy.,"Akhil Akkineni, Mammootty",Surender Reddy,179
Custody,Action Thriller,A cop protects a criminal witness.,"Naga Chaitanya, Krithi Shetty",Venkat Prabhu,180
Baby,Romantic Drama,A love triangle among three youngsters.,"Anand Deverakonda, Vaishnavi Chaitanya",Sai Rajesh,181
Virata Parvam,Period Drama,A woman falls in love with a naxalite poet.,"Rana Daggubati, Sai Pallavi",Venu Udugula,182
Bimbisara,Fantasy Action,A ruthless king time-travels to the modern era.,"Kalyan Ram, Catherine Tresa",Mallidi Vasishta,183
Skanda,Action Drama,A young man fights against political corruption.,"Ram Pothineni, Sreeleela",Boyapati Srinu,184
The Warriorr,Action Drama,A cop battles a ruthless gangster.,"Ram Pothineni, Krithi Shetty",Lingusamy,185
Red,Action Thriller,Identical twins get entangled in a murder mystery.,"Ram Pothineni, Nivetha Pethuraj",Kishore Tirumala,186
iSmart Shankar,Action Sci-Fi,A street-smart man gains a cop’s memories.,"Ram Pothineni, Nabha Natesh",Puri Jagannadh,187
Uppena,Romantic Drama,A fisherman’s love story faces caste barriers.,"Vaisshnav Tej, Krithi Shetty",Buchi Babu Sana,188
Ranga Ranga Vaibhavanga,Rom-Com,Childhood sweethearts navigate family drama.,"Vaisshnav Tej, Ketika Sharma",Gireeshaaya,189
Shyam Singha Roy,Fantasy Drama,A reincarnated writer’s past life unfolds.,"Nani, Sai Pallavi",Rahul Sankrityan,190
Dasara,Action Drama,A man rises against oppression in a coal town.,"Nani, Keerthy Suresh",Srikanth Odela,191
Hi Nanna,Romantic Drama,A single father’s bond with his daughter changes with love.,"Nani, Mrunal Thakur",Shouryuv,192
Majnu,Rom-Com,A man struggles with heartbreak and career.,"Nani, Anu Emmanuel",Virinchi Varma,193
Krishna Gaadi Veera Prema Gaadha,Rom-Com,A cowardly man protects children while proving his love.,"Nani, Mehreen",Hanu Raghavapudi,194
Eega,Fantasy Action,A man reincarnates as a housefly to avenge his death.,"Nani, Samantha",Rajamouli,195
Seethamma Vakitlo Sirimalle Chettu,Family Drama,Two brothers navigate love and family bonds.,"Mahesh Babu, Venkatesh, Anjali, Samantha",Srikanth Addala,201
SVSC,Family Drama,A joint family story of love and unity.,"Mahesh Babu, Venkatesh",Srikanth Addala,202
RRR,Period Action,Two revolutionaries fight for freedom.,"Ram Charan, NTR, Alia Bhatt",Rajamouli,203
Magadheera,Fantasy Action,A reincarnation love revenge drama.,"Ram Charan, Kajal, Srihari",Rajamouli,204
Sye Raa Narasimha Reddy,Historical Drama,Story of freedom fighter Uyyalawada Narasimha Reddy.,"Chiranjeevi, Amitabh Bachchan, Nayanthara",Surender Reddy,205
Acharya,Action Drama,A naxal-fighting story in a temple town.,"Chiranjeevi, Ram Charan, Pooja Hegde",Koratala Siva,206
Khaidi No. 150,Action Drama,An ex-convict fights against corporate corruption.,"Chiranjeevi, Kajal, Tarun Arora",VV Vinayak,207
Bheemla Nayak,Action Drama,Conflict between a SI and retired army havildar.,"Pawan Kalyan, Rana Daggubati, Nithya Menen",Saagar K Chandra,208
Bro,Fantasy Drama,A man gets a second chance from Time God.,"Pawan Kalyan, Sai Dharam Tej, Ketika Sharma",Samuthirakani,209
Gopala Gopala,Comedy Drama,A shopkeeper sues God after losing everything.,"Pawan Kalyan, Venkatesh, Shriya",Kishore Kumar Pardasani,210
Tagore,Action Drama,A professor fights against corruption.,"Chiranjeevi, Shriya, Jyothika",VV Vinayak,211
Indra,Action Drama,A powerful man sacrifices for his people.,"Chiranjeevi, Sonali Bendre, Arti Agarwal",B. Gopal,212
Karthikeya 2,Mystery Adventure,A man uncovers secrets linked to Lord Krishna.,"Nikhil, Anupama, Anupam Kher",Chandoo Mondeti,213
Manam,Fantasy Drama,Three generations explore reincarnation and destiny.,"Nagarjuna, Naga Chaitanya, ANR, Samantha",Vikram Kumar,214
Bangarraju,Fantasy Comedy,A man returns from heaven to help his family.,"Nagarjuna, Naga Chaitanya, Ramya Krishnan",Kalyan Krishna,215
Devadas,Comedy Drama,Two contrasting men become unlikely friends.,"Nagarjuna, Nani, Rashmika",Sriram Adittya,216
Oopiri,Drama,A quadriplegic billionaire befriends his caretaker.,"Nagarjuna, Karthi, Tamannaah",Vamsi Paidipally,217
Rajanna,Historical Drama,A girl inspires villagers with her father’s legacy.,"Nagarjuna, Sneha, Annie",Vijayendra Prasad,218
Venky Mama,Family Drama,An uncle and nephew share a deep bond.,"Venkatesh, Naga Chaitanya, Raashi Khanna",KS Ravindra,219
F2: Fun and Frustration,Comedy,A story of two frustrated husbands.,"Venkatesh, Varun Tej, Tamannaah, Mehreen",Anil Ravipudi,220
F3: Fun and Frustration,Comedy,The sequel continues with family chaos.,"Venkatesh, Varun Tej, Tamannaah, Mehreen",Anil Ravipudi,221
Yevadu,Action Thriller,A man undergoes a face transplant to avenge his enemies.,"Ram Charan, Allu Arjun, Shruti Hassan",Vamsi Paidipally,222
Rangasthalam,Period Drama,A hearing-impaired man fights a corrupt president.,"Ram Charan, Samantha, Jagapathi Babu",Sukumar,223
Dhruva,Action Thriller,A cop battles a brilliant criminal mastermind.,"Ram Charan, Rakul, Arvind Swami",Surender Reddy,224
Janatha Garage,Action Drama,A young man joins a garage that fights injustice.,"NTR, Mohanlal, Samantha",Koratala Siva,225
Athadu,Action Thriller,A hitman becomes part of a family accidentally.,"Mahesh Babu, Trisha",Trivikram,226
Pokiri,Action Thriller,An undercover cop infiltrates the mafia.,"Mahesh Babu, Ileana",Puri Jagannadh,227
Dookudu,Action Comedy,A cop investigates a politician’s crimes.,"Mahesh Babu, Samantha",Srinu Vaitla,228
Businessman,Action Thriller,A man rises as a mafia don in Mumbai.,"Mahesh Babu, Kajal",Puri Jagannadh,229
Khaleja,Action Comedy,A taxi driver becomes a village’s savior.,"Mahesh Babu, Anushka",Trivikram,230
Okkadu,Action Drama,A kabaddi player saves a girl from a faction leader.,"Mahesh Babu, Bhumika",Gunasekhar,231
Murari,Fantasy Drama,A man cursed by family deity fights fate.,"Mahesh Babu, Sonali Bendre",Krishna Vamsi,232
Arya,Romantic Drama,A free‑spirited man falls for a girl engaged to another.,"Allu Arjun, Anuradha",Sukumar,233
Arya 2,Romantic Drama,Two friends with contrasting personalities love the same girl.,"Allu Arjun, Kajal",Sukumar,234
Desamuduru,Action Romance,A journalist falls for a sanyasin.,"Allu Arjun, Hansika",Puri Jagannadh,235
Julayi,Action Comedy,A young man helps police catch a criminal.,"Allu Arjun, Ileana",Trivikram,236
Race Gurram,Action Comedy,A carefree man reforms his brother’s police career.,"Allu Arjun, Shruti Hassan",Surender Reddy,237
Sarrainodu,Action Drama,A man fights against a corrupt politician.,"Allu Arjun, Rakul",Boyapati Srinu,238
DJ: Duvvada Jagannadham,Action Comedy,A Brahmin man doubles as a vigilante.,"Allu Arjun, Pooja Hegde",Harish Shankar,239
Naa Peru Surya,Action Drama,A soldier must control his anger to prove himself.,"Allu Arjun, Anu Emmanuel",Vakkantham Vamsi,240
Geetha Govindam,Rom-Com,A naive lecturer falls for a strong‑willed woman.,"Vijay Deverakonda, Rashmika",Parasuram,241
Arjun Reddy,Romantic Drama,A brilliant surgeon spirals into self‑destruction after heartbreak.,"Vijay Deverakonda, Shalini",Sandeep Reddy Vanga,242
Taxiwaala,Fantasy Thriller,A cab driver discovers his car is haunted.,"Vijay Deverakonda, Priyanka Jawalkar",Rahul Sankrityan,243
World Famous Lover,Romantic Drama,A writer’s relationships mirror his stories.,"Vijay Deverakonda, Raashi Khanna",Kranthi Madhav,244
Dear Comrade,Romantic Drama,A student leader falls for a cricketer.,"Vijay Deverakonda, Rashmika",Bharat Kamma,245
Nota,Political Drama,A young man becomes CM overnight.,"Vijay Deverakonda, Mehreen",Anand Shankar,246
Pelli Choopulu,Rom-Com,A boy and girl meet at a matchmaking event.,"Vijay Deverakonda, Ritu Varma",Tharun Bhascker,247
Karthikeya,Mystery Thriller,A medical student investigates a temple mystery.,"Nikhil, Swati",Chandoo Mondeti,248
Karthikeya 2,Mystery Adventure,A man uncovers secrets linked to Lord Krishna.,"Nikhil, Anupama",Chandoo Mondeti,249
Eega,Fantasy Action,A man reincarnates as a housefly to avenge his death.,"Nani, Samantha",Rajamouli,250
Tholi Prema,Romantic Drama,A carefree youth falls in love with a strong-willed girl.,"Pawan Kalyan, Keerthi Reddy",A. Karunakaran,251
Suswagatham,Romantic Drama,A man’s obsessive love leads to tragedy.,"Pawan Kalyan, Devayani",Bhimaneni Srinivasa Rao,252
Thammudu,Sports Drama,A carefree youth becomes a boxing champion.,"Pawan Kalyan, Preeti Jhangiani",P.A. Arun Prasad,253
Badri,Romantic Drama,A man falls for a girl engaged to another.,"Pawan Kalyan, Amisha Patel",Puri Jagannadh,254
Kushi,Romantic Comedy,A couple’s egos clash despite their love.,"Pawan Kalyan, Bhumika",S.J. Surya,255
Johnny,Action Drama,A martial artist fights for his love.,"Pawan Kalyan, Renu Desai",Pawan Kalyan,256
Gudumba Shankar,Action Comedy,A man tricks a gangster to marry his love.,"Pawan Kalyan, Meera Jasmine",Veera Shankar,257
Bangaram,Action Drama,A journalist gets entangled in a family feud.,"Pawan Kalyan, Meera Chopra",Dharani,258
Annavaram,Action Drama,A man avenges his sister’s suffering.,"Pawan Kalyan, Sandhya",Bhimaneni Srinivasa Rao,259
Jalsa,Action Comedy,A cheerful lecturer with a painful past.,"Pawan Kalyan, Ileana",Trivikram,260
Panjaa,Action Thriller,A hitman struggles with loyalty and love.,"Pawan Kalyan, Sarah Jane",Vishnuvardhan,261
