title,genres,overview,cast,crew,movie_id
Movie_19,['Action'],This is the overview of movie 18.,"['Pawan Kalyan', 'Mahesh Babu', 'Ram Charan']",['Vamshi Paidipally'],1018
Movie_20,['Comedy'],This is the overview of movie 19.,"['Ram Charan', 'Vijay Deverakonda', 'Allu Arjun']",['Krish'],1019
Movie_21,['Comedy'],This is the overview of movie 20.,"['Sai Dharam Tej', 'Vijay Deverakonda', 'Prabhas']",['Koratal Siva'],1020
Movie_22,['Drama'],This is the overview of movie 21.,"['Prabhas', 'Prabhas', 'Sai Dharam Tej']",['Puri Jagannadh'],1021
Movie_23,['Romance'],This is the overview of movie 22.,"['NTR', 'NTR', 'Ram Charan']",['Koratal Siva'],1022
Movie_24,['Thriller'],This is the overview of movie 23.,"['NTR', 'Mahesh Babu', 'NTR']",['Koratal Siva'],1023
Movie_25,['Action'],This is the overview of movie 24.,"['Allu Arjun', 'Allu Arjun', 'Ram Charan']",['Krish'],1024
Movie_26,['Comedy'],This is the overview of movie 25.,"['Sai Dharam Tej', 'Sai Dharam Tej', 'Chiranjeevi']",['Boyapati Srinu'],1025
Movie_27,['Comedy'],This is the overview of movie 26.,"['Pawan Kalyan', 'Vijay Deverakonda', 'Allu Arjun']",['Trivikram Srinivas'],1026
Movie_28,['Action'],This is the overview of movie 27.,"['Varun Tej', 'Sai Dharam Tej', 'Ram Charan']",['Trivikram Srinivas'],1027
Movie_29,['Romance'],This is the overview of movie 28.,"['Chiranjeevi', 'Mahesh Babu', 'Allu Arjun']",['Sukumar'],1028
Movie_30,['Thriller'],This is the overview of movie 29.,"['Mahesh Babu', 'Sai Dharam Tej', 'Vijay Deverakonda']",['Krish'],1029
Movie_31,['Thriller'],This is the overview of movie 30.,"['Pawan Kalyan', 'Sai Dharam Tej', 'Pawan Kalyan']",['Boyapati Srinu'],1030
Movie_32,['Action'],This is the overview of movie 31.,"['NTR', 'NTR', 'Ram Charan']",['Puri Jagannadh'],1031
Movie_33,['Comedy'],This is the overview of movie 32.,"['NTR', 'NTR', 'Varun Tej']",['Puri Jagannadh'],1032
Movie_34,['Action'],This is the overview of movie 33.,"['Pawan Kalyan', 'Pawan Kalyan', 'NTR']",['Vamshi Paidipally'],1033
Movie_35,['Romance'],This is the overview of movie 34.,"['Varun Tej', 'NTR', 'Sai Dharam Tej']",['Sukumar'],1034
Movie_36,['Action'],This is the overview of movie 35.,"['Varun Tej', 'Prabhas', 'Allu Arjun']",['Koratal Siva'],1035
Movie_37,['Action'],This is the overview of movie 36.,"['Sai Dharam Tej', 'Sai Dharam Tej', 'Allu Arjun']",['Koratal Siva'],1036
Movie_38,['Thriller'],This is the overview of movie 37.,"['Chiranjeevi', 'Varun Tej', 'Mahesh Babu']",['Sukumar'],1037
Movie_39,['Action'],This is the overview of movie 38.,"['NTR', 'Sai Dharam Tej', 'Mahesh Babu']",['Vamshi Paidipally'],1038
Movie_40,['Romance'],This is the overview of movie 39.,"['Mahesh Babu', 'Sai Dharam Tej', 'Allu Arjun']",['Puri Jagannadh'],1039
Movie_41,['Romance'],This is the overview of movie 40.,"['Chiranjeevi', 'Sai Dharam Tej', 'Mahesh Babu']",['Koratal Siva'],1040
Movie_42,['Thriller'],This is the overview of movie 41.,"['Prabhas', 'Varun Tej', 'Pawan Kalyan']",['Koratal Siva'],1041
Movie_43,['Romance'],This is the overview of movie 42.,"['Mahesh Babu', 'Vijay Deverakonda', 'Ram Charan']",['Puri Jagannadh'],1042
Movie_44,['Comedy'],This is the overview of movie 43.,"['Allu Arjun', 'Allu Arjun', 'Mahesh Babu']",['Vamshi Paidipally'],1043
Movie_45,['Thriller'],This is the overview of movie 44.,"['Mahesh Babu', 'Chiranjeevi', 'Vijay Deverakonda']",['Boyapati Srinu'],1044
Movie_46,['Thriller'],This is the overview of movie 45.,"['Prabhas', 'Allu Arjun', 'Allu Arjun']",['Boyapati Srinu'],1045
Movie_47,['Action'],This is the overview of movie 46.,"['Chiranjeevi', 'Allu Arjun', 'Ram Charan']",['Krish'],1046
Movie_48,['Romance'],This is the overview of movie 47.,"['Ram Charan', 'Pawan Kalyan', 'Mahesh Babu']",['Koratal Siva'],1047
Movie_49,['Action'],This is the overview of movie 48.,"['Prabhas', 'Prabhas', 'Sai Dharam Tej']",['SS Rajamouli'],1048
Movie_50,['Romance'],This is the overview of movie 49.,"['Allu Arjun', 'NTR', 'Varun Tej']",['Koratal Siva'],1049
Movie_51,['Thriller'],This is the overview of movie 50.,"['NTR', 'Pawan Kalyan', 'Allu Arjun']",['Boyapati Srinu'],1050
Movie_52,['Comedy'],This is the overview of movie 51.,"['Varun Tej', 'Chiranjeevi', 'NTR']",['Trivikram Srinivas'],1051
Movie_53,['Romance'],This is the overview of movie 52.,"['Chiranjeevi', 'Varun Tej', 'Varun Tej']",['Sukumar'],1052
Movie_54,['Comedy'],This is the overview of movie 53.,"['Ram Charan', 'Ram Charan', 'Allu Arjun']",['Trivikram Srinivas'],1053
Movie_55,['Comedy'],This is the overview of movie 54.,"['Mahesh Babu', 'NTR', 'Varun Tej']",['Boyapati Srinu'],1054
Movie_56,['Comedy'],This is the overview of movie 55.,"['Allu Arjun', 'NTR', 'Mahesh Babu']",['Puri Jagannadh'],1055
Movie_57,['Drama'],This is the overview of movie 56.,"['Varun Tej', 'Mahesh Babu', 'Pawan Kalyan']",['Koratal Siva'],1056
Movie_58,['Drama'],This is the overview of movie 57.,"['Chiranjeevi', 'Ram Charan', 'NTR']",['Trivikram Srinivas'],1057
Movie_59,['Romance'],This is the overview of movie 58.,"['Allu Arjun', 'Vijay Deverakonda', 'Pawan Kalyan']",['Koratal Siva'],1058
Movie_60,['Thriller'],This is the overview of movie 59.,"['Pawan Kalyan', 'Sai Dharam Tej', 'Chiranjeevi']",['Krish'],1059
Movie_61,['Romance'],This is the overview of movie 60.,"['Pawan Kalyan', 'Pawan Kalyan', 'Allu Arjun']",['Trivikram Srinivas'],1060
Movie_62,['Thriller'],This is the overview of movie 61.,"['Chiranjeevi', 'Sai Dharam Tej', 'Vijay Deverakonda']",['Trivikram Srinivas'],1061
Movie_63,['Comedy'],This is the overview of movie 62.,"['Pawan Kalyan', 'Chiranjeevi', 'Prabhas']",['Puri Jagannadh'],1062
Movie_64,['Drama'],This is the overview of movie 63.,"['Sai Dharam Tej', 'Ram Charan', 'Varun Tej']",['Vamshi Paidipally'],1063
Movie_65,['Thriller'],This is the overview of movie 64.,"['Pawan Kalyan', 'Allu Arjun', 'Ram Charan']",['Vamshi Paidipally'],1064
Movie_66,['Comedy'],This is the overview of movie 65.,"['Prabhas', 'Vijay Deverakonda', 'Prabhas']",['Krish'],1065
Movie_67,['Action'],This is the overview of movie 66.,"['Sai Dharam Tej', 'Chiranjeevi', 'Mahesh Babu']",['Sukumar'],1066
Movie_68,['Thriller'],This is the overview of movie 67.,"['Varun Tej', 'Allu Arjun', 'Chiranjeevi']",['Krish'],1067
Movie_69,['Romance'],This is the overview of movie 68.,"['Chiranjeevi', 'Sai Dharam Tej', 'Ram Charan']",['SS Rajamouli'],1068
Movie_70,['Thriller'],This is the overview of movie 69.,"['Allu Arjun', 'Prabhas', 'Allu Arjun']",['Krish'],1069
Movie_71,['Drama'],This is the overview of movie 70.,"['Sai Dharam Tej', 'Varun Tej', 'Chiranjeevi']",['Koratal Siva'],1070
Movie_72,['Action'],This is the overview of movie 71.,"['Allu Arjun', 'Sai Dharam Tej', 'Chiranjeevi']",['Boyapati Srinu'],1071
Movie_73,['Romance'],This is the overview of movie 72.,"['Varun Tej', 'Ram Charan', 'Allu Arjun']",['SS Rajamouli'],1072
Movie_74,['Comedy'],This is the overview of movie 73.,"['Pawan Kalyan', 'Varun Tej', 'Ram Charan']",['Puri Jagannadh'],1073
Movie_75,['Romance'],This is the overview of movie 74.,"['Allu Arjun', 'Vijay Deverakonda', 'Pawan Kalyan']",['Boyapati Srinu'],1074
Movie_76,['Romance'],This is the overview of movie 75.,"['Varun Tej', 'Pawan Kalyan', 'NTR']",['Trivikram Srinivas'],1075
Movie_77,['Action'],This is the overview of movie 76.,"['Allu Arjun', 'Vijay Deverakonda', 'Allu Arjun']",['Koratal Siva'],1076
Movie_78,['Action'],This is the overview of movie 77.,"['NTR', 'Sai Dharam Tej', 'Vijay Deverakonda']",['Sukumar'],1077
Movie_79,['Thriller'],This is the overview of movie 78.,"['Chiranjeevi', 'Ram Charan', 'NTR']",['Boyapati Srinu'],1078
Movie_80,['Drama'],This is the overview of movie 79.,"['Varun Tej', 'Chiranjeevi', 'Chiranjeevi']",['SS Rajamouli'],1079
Movie_81,['Comedy'],This is the overview of movie 80.,"['Varun Tej', 'Vijay Deverakonda', 'NTR']",['Trivikram Srinivas'],1080
Movie_82,['Comedy'],This is the overview of movie 81.,"['NTR', 'Allu Arjun', 'Ram Charan']",['Sukumar'],1081
Movie_83,['Drama'],This is the overview of movie 82.,"['Varun Tej', 'Mahesh Babu', 'Prabhas']",['Sukumar'],1082
Movie_84,['Drama'],This is the overview of movie 83.,"['Prabhas', 'Varun Tej', 'Mahesh Babu']",['Puri Jagannadh'],1083
Movie_85,['Thriller'],This is the overview of movie 84.,"['Varun Tej', 'Vijay Deverakonda', 'NTR']",['Boyapati Srinu'],1084
Movie_86,['Thriller'],This is the overview of movie 85.,"['Chiranjeevi', 'Varun Tej', 'Prabhas']",['SS Rajamouli'],1085
Movie_87,['Drama'],This is the overview of movie 86.,"['Ram Charan', 'Prabhas', 'Vijay Deverakonda']",['Krish'],1086
Movie_88,['Drama'],This is the overview of movie 87.,"['Allu Arjun', 'Vijay Deverakonda', 'Ram Charan']",['Sukumar'],1087
Movie_89,['Romance'],This is the overview of movie 88.,"['Pawan Kalyan', 'Vijay Deverakonda', 'Allu Arjun']",['Koratal Siva'],1088
Movie_90,['Romance'],This is the overview of movie 89.,"['Pawan Kalyan', 'Prabhas', 'Varun Tej']",['Trivikram Srinivas'],1089
Movie_91,['Thriller'],This is the overview of movie 90.,"['Chiranjeevi', 'Vijay Deverakonda', 'Vijay Deverakonda']",['Koratal Siva'],1090
Movie_92,['Drama'],This is the overview of movie 91.,"['Sai Dharam Tej', 'Varun Tej', 'Pawan Kalyan']",['SS Rajamouli'],1091
Movie_93,['Drama'],This is the overview of movie 92.,"['Vijay Deverakonda', 'Prabhas', 'Varun Tej']",['Koratal Siva'],1092
Movie_94,['Thriller'],This is the overview of movie 93.,"['Ram Charan', 'Allu Arjun', 'Prabhas']",['Krish'],1093
Movie_95,['Action'],This is the overview of movie 94.,"['Prabhas', 'Chiranjeevi', 'Prabhas']",['Vamshi Paidipally'],1094
Movie_96,['Thriller'],This is the overview of movie 95.,"['Mahesh Babu', 'NTR', 'Prabhas']",['Koratal Siva'],1095
Movie_97,['Romance'],This is the overview of movie 96.,"['Mahesh Babu', 'Varun Tej', 'Sai Dharam Tej']",['SS Rajamouli'],1096
Movie_98,['Drama'],This is the overview of movie 97.,"['Ram Charan', 'Mahesh Babu', 'NTR']",['Puri Jagannadh'],1097
Movie_99,['Thriller'],This is the overview of movie 98.,"['Vijay Deverakonda', 'Pawan Kalyan', 'Mahesh Babu']",['Boyapati Srinu'],1098
Movie_100,['Comedy'],This is the overview of movie 99.,"['Mahesh Babu', 'Ram Charan', 'Pawan Kalyan']",['SS Rajamouli'],1099
Movie_101,['Thriller'],This is the overview of movie 100.,"['Allu Arjun', 'Ram Charan', 'Pawan Kalyan']",['Krish'],1100
Movie_102,['Action'],This is the overview of movie 101.,"['Chiranjeevi', 'Allu Arjun', 'Vijay Deverakonda']",['Puri Jagannadh'],1101
Movie_103,['Comedy'],This is the overview of movie 102.,"['Ram Charan', 'Ram Charan', 'Sai Dharam Tej']",['Boyapati Srinu'],1102
Movie_104,['Thriller'],This is the overview of movie 103.,"['Allu Arjun', 'Allu Arjun', 'Allu Arjun']",['Trivikram Srinivas'],1103
Movie_105,['Thriller'],This is the overview of movie 104.,"['Chiranjeevi', 'Sai Dharam Tej', 'Allu Arjun']",['Puri Jagannadh'],1104
Movie_106,['Drama'],This is the overview of movie 105.,"['Sai Dharam Tej', 'Mahesh Babu', 'NTR']",['Koratal Siva'],1105
Movie_107,['Thriller'],This is the overview of movie 106.,"['Chiranjeevi', 'Prabhas', 'Varun Tej']",['Puri Jagannadh'],1106
Movie_108,['Thriller'],This is the overview of movie 107.,"['Pawan Kalyan', 'Prabhas', 'Chiranjeevi']",['Koratal Siva'],1107
Movie_109,['Thriller'],This is the overview of movie 108.,"['Prabhas', 'Varun Tej', 'Sai Dharam Tej']",['Boyapati Srinu'],1108
Movie_110,['Thriller'],This is the overview of movie 109.,"['Mahesh Babu', 'Ram Charan', 'Prabhas']",['Trivikram Srinivas'],1109
Movie_111,['Comedy'],This is the overview of movie 110.,"['Sai Dharam Tej', 'Prabhas', 'Pawan Kalyan']",['Trivikram Srinivas'],1110
Movie_112,['Romance'],This is the overview of movie 111.,"['Ram Charan', 'Vijay Deverakonda', 'Pawan Kalyan']",['SS Rajamouli'],1111
Movie_113,['Thriller'],This is the overview of movie 112.,"['Allu Arjun', 'Allu Arjun', 'Ram Charan']",['Sukumar'],1112
Movie_114,['Thriller'],This is the overview of movie 113.,"['Sai Dharam Tej', 'Sai Dharam Tej', 'Vijay Deverakonda']",['Vamshi Paidipally'],1113
Movie_115,['Drama'],This is the overview of movie 114.,"['Pawan Kalyan', 'Pawan Kalyan', 'Prabhas']",['Koratal Siva'],1114
Movie_116,['Thriller'],This is the overview of movie 115.,"['Ram Charan', 'Vijay Deverakonda', 'NTR']",['Krish'],1115
Movie_117,['Comedy'],This is the overview of movie 116.,"['Allu Arjun', 'Vijay Deverakonda', 'Chiranjeevi']",['Trivikram Srinivas'],1116
Movie_118,['Action'],This is the overview of movie 117.,"['NTR', 'Sai Dharam Tej', 'Vijay Deverakonda']",['Koratal Siva'],1117
Movie_119,['Comedy'],This is the overview of movie 118.,"['Allu Arjun', 'Sai Dharam Tej', 'Chiranjeevi']",['Puri Jagannadh'],1118
Movie_120,['Action'],This is the overview of movie 119.,"['Chiranjeevi', 'Pawan Kalyan', 'Allu Arjun']",['Vamshi Paidipally'],1119
Movie_121,['Romance'],This is the overview of movie 120.,"['Ram Charan', 'Pawan Kalyan', 'Mahesh Babu']",['Koratal Siva'],1120
Movie_122,['Comedy'],This is the overview of movie 121.,"['Mahesh Babu', 'Varun Tej', 'Ram Charan']",['Vamshi Paidipally'],1121
Movie_123,['Thriller'],This is the overview of movie 122.,"['Ram Charan', 'Allu Arjun', 'Ram Charan']",['SS Rajamouli'],1122
Movie_124,['Action'],This is the overview of movie 123.,"['Mahesh Babu', 'Varun Tej', 'Mahesh Babu']",['Puri Jagannadh'],1123
Movie_125,['Thriller'],This is the overview of movie 124.,"['NTR', 'NTR', 'NTR']",['Vamshi Paidipally'],1124
Movie_126,['Thriller'],This is the overview of movie 125.,"['Mahesh Babu', 'NTR', 'Sai Dharam Tej']",['Trivikram Srinivas'],1125
Movie_127,['Action'],This is the overview of movie 126.,"['Chiranjeevi', 'NTR', 'Vijay Deverakonda']",['Koratal Siva'],1126
Movie_128,['Action'],This is the overview of movie 127.,"['Chiranjeevi', 'Vijay Deverakonda', 'Prabhas']",['Puri Jagannadh'],1127
Movie_129,['Thriller'],This is the overview of movie 128.,"['Prabhas', 'Allu Arjun', 'Varun Tej']",['Vamshi Paidipally'],1128
Movie_130,['Drama'],This is the overview of movie 129.,"['Chiranjeevi', 'Pawan Kalyan', 'Mahesh Babu']",['Trivikram Srinivas'],1129
Movie_131,['Action'],This is the overview of movie 130.,"['Allu Arjun', 'Mahesh Babu', 'NTR']",['Koratal Siva'],1130
Movie_132,['Comedy'],This is the overview of movie 131.,"['Chiranjeevi', 'Varun Tej', 'Varun Tej']",['Puri Jagannadh'],1131
Movie_133,['Action'],This is the overview of movie 132.,"['Allu Arjun', 'Vijay Deverakonda', 'Ram Charan']",['Trivikram Srinivas'],1132
Movie_134,['Action'],This is the overview of movie 133.,"['Chiranjeevi', 'Sai Dharam Tej', 'NTR']",['Trivikram Srinivas'],1133
Movie_135,['Drama'],This is the overview of movie 134.,"['Mahesh Babu', 'Allu Arjun', 'Pawan Kalyan']",['Vamshi Paidipally'],1134
Movie_136,['Romance'],This is the overview of movie 135.,"['Vijay Deverakonda', 'Prabhas', 'Pawan Kalyan']",['Boyapati Srinu'],1135
Movie_137,['Comedy'],This is the overview of movie 136.,"['Mahesh Babu', 'Chiranjeevi', 'Vijay Deverakonda']",['SS Rajamouli'],1136
Movie_138,['Romance'],This is the overview of movie 137.,"['NTR', 'Ram Charan', 'NTR']",['SS Rajamouli'],1137
Movie_139,['Action'],This is the overview of movie 138.,"['Vijay Deverakonda', 'Ram Charan', 'Sai Dharam Tej']",['Krish'],1138
Movie_140,['Romance'],This is the overview of movie 139.,"['Prabhas', 'Pawan Kalyan', 'NTR']",['Trivikram Srinivas'],1139
Movie_141,['Thriller'],This is the overview of movie 140.,"['NTR', 'NTR', 'Sai Dharam Tej']",['Trivikram Srinivas'],1140
Movie_142,['Drama'],This is the overview of movie 141.,"['NTR', 'Allu Arjun', 'Prabhas']",['Puri Jagannadh'],1141
Movie_143,['Thriller'],This is the overview of movie 142.,"['Vijay Deverakonda', 'NTR', 'Varun Tej']",['Krish'],1142
Movie_144,['Romance'],This is the overview of movie 143.,"['Pawan Kalyan', 'Vijay Deverakonda', 'Vijay Deverakonda']",['SS Rajamouli'],1143
Movie_145,['Romance'],This is the overview of movie 144.,"['Mahesh Babu', 'Vijay Deverakonda', 'Ram Charan']",['SS Rajamouli'],1144
Movie_146,['Drama'],This is the overview of movie 145.,"['NTR', 'Sai Dharam Tej', 'Mahesh Babu']",['Puri Jagannadh'],1145
Movie_147,['Drama'],This is the overview of movie 146.,"['Chiranjeevi', 'Allu Arjun', 'Pawan Kalyan']",['Sukumar'],1146
Movie_148,['Comedy'],This is the overview of movie 147.,"['Mahesh Babu', 'Ram Charan', 'Prabhas']",['Koratal Siva'],1147
Movie_149,['Action'],This is the overview of movie 148.,"['Allu Arjun', 'Prabhas', 'Varun Tej']",['Trivikram Srinivas'],1148
Movie_150,['Action'],This is the overview of movie 149.,"['Vijay Deverakonda', 'Vijay Deverakonda', 'Sai Dharam Tej']",['Puri Jagannadh'],1149
Movie_151,['Thriller'],This is the overview of movie 150.,"['Sai Dharam Tej', 'Vijay Deverakonda', 'Allu Arjun']",['SS Rajamouli'],1150
Movie_152,['Romance'],This is the overview of movie 151.,"['Sai Dharam Tej', 'Vijay Deverakonda', 'Vijay Deverakonda']",['SS Rajamouli'],1151
Movie_153,['Comedy'],This is the overview of movie 152.,"['Ram Charan', 'Ram Charan', 'Vijay Deverakonda']",['Vamshi Paidipally'],1152
Movie_154,['Drama'],This is the overview of movie 153.,"['Chiranjeevi', 'Allu Arjun', 'Mahesh Babu']",['Trivikram Srinivas'],1153
Movie_155,['Drama'],This is the overview of movie 154.,"['NTR', 'Pawan Kalyan', 'Sai Dharam Tej']",['Koratal Siva'],1154
Movie_156,['Action'],This is the overview of movie 155.,"['Ram Charan', 'Prabhas', 'Prabhas']",['SS Rajamouli'],1155
Movie_157,['Romance'],This is the overview of movie 156.,"['Chiranjeevi', 'Ram Charan', 'Vijay Deverakonda']",['Krish'],1156
Movie_158,['Comedy'],This is the overview of movie 157.,"['Pawan Kalyan', 'Prabhas', 'Mahesh Babu']",['Puri Jagannadh'],1157
Movie_159,['Comedy'],This is the overview of movie 158.,"['Vijay Deverakonda', 'Chiranjeevi', 'Ram Charan']",['Koratal Siva'],1158
Movie_160,['Drama'],This is the overview of movie 159.,"['NTR', 'Sai Dharam Tej', 'Chiranjeevi']",['Puri Jagannadh'],1159
Movie_161,['Drama'],This is the overview of movie 160.,"['Vijay Deverakonda', 'Chiranjeevi', 'Prabhas']",['Sukumar'],1160
Movie_162,['Thriller'],This is the overview of movie 161.,"['Sai Dharam Tej', 'Sai Dharam Tej', 'NTR']",['Trivikram Srinivas'],1161
Movie_163,['Romance'],This is the overview of movie 162.,"['Prabhas', 'Mahesh Babu', 'Sai Dharam Tej']",['Boyapati Srinu'],1162
Movie_164,['Thriller'],This is the overview of movie 163.,"['Prabhas', 'Prabhas', 'Chiranjeevi']",['Trivikram Srinivas'],1163
Movie_165,['Thriller'],This is the overview of movie 164.,"['Chiranjeevi', 'Prabhas', 'Mahesh Babu']",['Boyapati Srinu'],1164
Movie_166,['Comedy'],This is the overview of movie 165.,"['NTR', 'Pawan Kalyan', 'Vijay Deverakonda']",['Trivikram Srinivas'],1165
Movie_167,['Comedy'],This is the overview of movie 166.,"['Pawan Kalyan', 'Sai Dharam Tej', 'Varun Tej']",['Puri Jagannadh'],1166
Movie_168,['Thriller'],This is the overview of movie 167.,"['Chiranjeevi', 'NTR', 'Varun Tej']",['Krish'],1167
Movie_169,['Drama'],This is the overview of movie 168.,"['NTR', 'Allu Arjun', 'Chiranjeevi']",['Boyapati Srinu'],1168
Movie_170,['Drama'],This is the overview of movie 169.,"['Prabhas', 'Varun Tej', 'Prabhas']",['Sukumar'],1169
Movie_171,['Action'],This is the overview of movie 170.,"['Pawan Kalyan', 'Sai Dharam Tej', 'NTR']",['Sukumar'],1170
Movie_172,['Romance'],This is the overview of movie 171.,"['Vijay Deverakonda', 'Allu Arjun', 'Varun Tej']",['Trivikram Srinivas'],1171
Movie_173,['Action'],This is the overview of movie 172.,"['Pawan Kalyan', 'Ram Charan', 'Pawan Kalyan']",['Sukumar'],1172
Movie_174,['Action'],This is the overview of movie 173.,"['Mahesh Babu', 'NTR', 'Allu Arjun']",['Vamshi Paidipally'],1173
Movie_175,['Action'],This is the overview of movie 174.,"['Chiranjeevi', 'Prabhas', 'NTR']",['Puri Jagannadh'],1174
Movie_176,['Action'],This is the overview of movie 175.,"['Chiranjeevi', 'Mahesh Babu', 'Prabhas']",['Puri Jagannadh'],1175
Movie_177,['Action'],This is the overview of movie 176.,"['Varun Tej', 'Allu Arjun', 'Vijay Deverakonda']",['Trivikram Srinivas'],1176
Movie_178,['Romance'],This is the overview of movie 177.,"['Varun Tej', 'Prabhas', 'Chiranjeevi']",['Puri Jagannadh'],1177
Movie_179,['Thriller'],This is the overview of movie 178.,"['Prabhas', 'Ram Charan', 'Allu Arjun']",['Vamshi Paidipally'],1178
Movie_180,['Romance'],This is the overview of movie 179.,"['Ram Charan', 'Vijay Deverakonda', 'Varun Tej']",['SS Rajamouli'],1179
Movie_181,['Romance'],This is the overview of movie 180.,"['Ram Charan', 'Chiranjeevi', 'Varun Tej']",['Krish'],1180
Movie_182,['Romance'],This is the overview of movie 181.,"['Prabhas', 'Prabhas', 'Allu Arjun']",['Puri Jagannadh'],1181
Movie_183,['Drama'],This is the overview of movie 182.,"['Chiranjeevi', 'Ram Charan', 'Vijay Deverakonda']",['Krish'],1182
Movie_184,['Comedy'],This is the overview of movie 183.,"['Varun Tej', 'Mahesh Babu', 'Allu Arjun']",['SS Rajamouli'],1183
Movie_185,['Comedy'],This is the overview of movie 184.,"['Chiranjeevi', 'Prabhas', 'Pawan Kalyan']",['Trivikram Srinivas'],1184
Movie_186,['Action'],This is the overview of movie 185.,"['NTR', 'Prabhas', 'Vijay Deverakonda']",['Boyapati Srinu'],1185
Movie_187,['Comedy'],This is the overview of movie 186.,"['NTR', 'Chiranjeevi', 'Chiranjeevi']",['Krish'],1186
Movie_188,['Comedy'],This is the overview of movie 187.,"['Vijay Deverakonda', 'Allu Arjun', 'Varun Tej']",['Sukumar'],1187
Movie_189,['Action'],This is the overview of movie 188.,"['Ram Charan', 'Ram Charan', 'Sai Dharam Tej']",['Trivikram Srinivas'],1188
Movie_190,['Thriller'],This is the overview of movie 189.,"['Chiranjeevi', 'Prabhas', 'Vijay Deverakonda']",['Koratal Siva'],1189
Movie_191,['Thriller'],This is the overview of movie 190.,"['Pawan Kalyan', 'Chiranjeevi', 'Varun Tej']",['SS Rajamouli'],1190
Movie_192,['Thriller'],This is the overview of movie 191.,"['NTR', 'NTR', 'Allu Arjun']",['Koratal Siva'],1191
Movie_193,['Thriller'],This is the overview of movie 192.,"['Allu Arjun', 'Allu Arjun', 'Sai Dharam Tej']",['Boyapati Srinu'],1192
Movie_194,['Drama'],This is the overview of movie 193.,"['Chiranjeevi', 'Pawan Kalyan', 'NTR']",['Puri Jagannadh'],1193
Movie_195,['Action'],This is the overview of movie 194.,"['Vijay Deverakonda', 'Prabhas', 'Sai Dharam Tej']",['Puri Jagannadh'],1194
Movie_196,['Drama'],This is the overview of movie 195.,"['Prabhas', 'Ram Charan', 'Mahesh Babu']",['Trivikram Srinivas'],1195
Movie_197,['Drama'],This is the overview of movie 196.,"['Allu Arjun', 'Varun Tej', 'Vijay Deverakonda']",['Sukumar'],1196
Movie_198,['Comedy'],This is the overview of movie 197.,"['Prabhas', 'Ram Charan', 'NTR']",['Koratal Siva'],1197
Movie_199,['Comedy'],This is the overview of movie 198.,"['Vijay Deverakonda', 'Allu Arjun', 'Pawan Kalyan']",['Boyapati Srinu'],1198
Movie_200,['Comedy'],This is the overview of movie 199.,"['Vijay Deverakonda', 'Pawan Kalyan', 'Chiranjeevi']",['Krish'],1199
Movie_201,['Action'],This is the overview of movie 200.,"['Prabhas', 'Allu Arjun', 'Varun Tej']",['Puri Jagannadh'],1200
